;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";110.28;386.76;1621.75;;0;60.14;22.21;0.05;67.01
"triceps_brachii_long_(right)";92.56;402.13;19046.88;;1;59.36;26.03;;67.89
;;;;;2;53.51;26.47;;68.59
;;;;;3;52.73;24.13;;69.2
;;;;;4;86.8;33.48;;69.6
;;;;;5;83.56;31.6;;69.56
;;;;;6;48.19;19.72;;69.24
;;;;;7;61.84;23.86;;69.16
;;;;;8;51.17;21.9;;69.61
;;;;;9;58.3;51.61;;70.4
;;;;;10;63.98;163.06;;71.29
;;;;;11;49.24;395.73;;72.23
;;;;;12;169.89;402.13;;73.23
;;;;;13;199.31;175.12;;74.18
;;;;;14;141.72;54.7;;74.87
;;;;;15;123.49;60.37;;75.29
;;;;;16;264.5;77.74;;75.61
;;;;;17;386.76;80.96;;75.96
;;;;;18;311.89;54.47;;76.29
;;;;;19;109.24;25.73;;76.55
;;;;;20;76.87;37.04;;76.71
;;;;;21;66.83;68.73;;76.7
;;;;;22;42.15;195.38;;76.59
;;;;;23;59.57;214.3;;76.53
;;;;;24;84.64;112.82;;76.58
;;;;;25;107.54;50.66;;76.7
;;;;;26;115.5;53.81;;76.79
;;;;;27;125.61;60.79;;76.71
;;;;;28;212.98;66.8;;76.43
;;;;;29;219.93;54.66;;76.27
;;;;;30;121.2;40.97;;76.46
;;;;;31;87.77;56.17;;76.81
;;;;;32;82.29;198.62;;76.97
;;;;;33;49.62;320.75;;76.83
;;;;;34;56.31;276.37;;76.5
;;;;;35;112.25;108;;76.2
;;;;;36;133.92;48.14;;76.14
;;;;;37;107.83;50.68;;76.28
;;;;;38;86.74;50.26;;76.41
;;;;;39;249.77;72.28;;76.44
;;;;;40;282.74;70.35;;76.4
;;;;;41;150.21;44.01;;76.4
;;;;;42;67.02;50.13;;76.5
;;;;;43;65.96;77.93;;76.62
;;;;;44;44.12;199.76;;76.5
;;;;;45;59.95;247.02;;75.75
;;;;;46;92.07;163.47;;73.72
;;;;;47;105.86;43.68;;69.95
;;;;;48;106.41;44.64;;64.31
;;;;;49;117.16;51.91;;56.57
;;;;;50;202.59;62.98;;46.31
;;;;;51;191.36;55.34;;33.37
;;;;;52;65.47;36.97;;18.76
;;;;;53;79.64;46.87;;4.08
;;;;;54;80.52;84.08;;-10.33
;;;;;55;47.58;246.74;;-21.48
;;;;;56;53.6;325.97;;-28.1
;;;;;57;184.5;233.45;;-33.28
;;;;;58;208.88;51.5;;-37.92
;;;;;59;131.35;43.97;;-41.85
;;;;;60;104.34;43.96;;-44.29
;;;;;61;131.4;57.38;;-44.95
;;;;;62;234.53;66.04;;-44.57
;;;;;63;212.17;55.85;;-43.65
;;;;;64;87.77;44.93;;-42.47
;;;;;65;115.98;46.17;;-40.96
;;;;;66;98.28;79.76;;-38.4
;;;;;67;47.17;207.1;;-34.42
;;;;;68;61.4;286.01;;-28.67
;;;;;69;108.77;213.34;;-21.04
;;;;;70;133.16;43.3;;-12.95
;;;;;71;111.82;42.33;;-6.1
;;;;;72;88.76;44.07;;-0.26
;;;;;73;227.24;72.9;;5.58
;;;;;74;230.1;67.66;;11.45
;;;;;75;101.81;34.88;;17.3
;;;;;76;82.07;35.79;;23.1
;;;;;77;87.41;67.58;;28.94
;;;;;78;96.07;150.52;;35.01
;;;;;79;73.52;224.47;;41.14
;;;;;80;65.03;195.59;;47.12
;;;;;81;112.52;85.65;;52.9
;;;;;82;133.96;47.65;;58.13
;;;;;83;119.97;52.08;;63.09
;;;;;84;111.36;57.58;;68.84
;;;;;85;308.37;88.11;;76.58
;;;;;86;307.56;79.62;;86.07
;;;;;87;95.52;38.9;;93.52
;;;;;88;92.21;42.24;;96.16
;;;;;89;86.71;48.04;;95.73
;;;;;90;54.49;121.79;;94.77
;;;;;91;36.97;234.38;;94.21
;;;;;92;51.83;207.27;;93.84
;;;;;93;76.17;43.86;;93.17
