;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
"biceps_brachii_(right)";58.66;99.17;5528.98;;0;30.93;27.04;0.05;88.11
"triceps_brachii_lateral_(right)";43.39;84.89;341.01;;1;60.23;54.23;;88.01
;;;;;2;64.86;53.81;;87.87
;;;;;3;55.07;31.11;;87.79
;;;;;4;45.87;22.1;;87.83
;;;;;5;25.24;14.37;;87.95
;;;;;6;22.58;14.76;;87.83
;;;;;7;21.84;14.55;;86.41
;;;;;8;23.46;15.02;;82.04
;;;;;9;23.75;14.74;;74.6
;;;;;10;22.02;14.41;;65.68
;;;;;11;21.14;14.25;;56.82
;;;;;12;22.86;13.63;;50.54
;;;;;13;24.99;14.86;;48.64
;;;;;14;26.4;15.43;;50.04
;;;;;15;27.38;15;;53.18
;;;;;16;25.71;14.9;;57.46
;;;;;17;27.76;13.97;;62.5
;;;;;18;29.68;14.75;;67.86
;;;;;19;22.22;14.16;;73.03
;;;;;20;35.94;24.82;;77.37
;;;;;21;51.09;50.12;;80.52
;;;;;22;47.14;57.46;;82.49
;;;;;23;51.03;45.21;;83.42
;;;;;24;64.48;62.65;;83.55
;;;;;25;81.41;69.32;;83.25
;;;;;26;84.74;49.14;;82.88
;;;;;27;86.26;46.14;;82.6
;;;;;28;78.29;42.2;;82.48
;;;;;29;45.23;24.77;;82.47
;;;;;30;39.36;18.38;;82.47
;;;;;31;49.29;42.88;;82.44
;;;;;32;54.5;54.23;;82.38
;;;;;33;45.35;55.72;;82.27
;;;;;34;35.15;52.8;;82.17
;;;;;35;56.14;60.12;;82.16
;;;;;36;63.13;63.56;;82.21
;;;;;37;73.61;55.23;;82.28
;;;;;38;84.47;51.7;;82.3
;;;;;39;75.48;43.19;;82.29
;;;;;40;59.27;35.58;;82.26
;;;;;41;58.21;58.2;;82.23
;;;;;42;62.19;62.63;;82.25
;;;;;43;48.75;50.61;;82.3
;;;;;44;41.95;65.32;;82.32
;;;;;45;49.4;68.5;;82.31
;;;;;46;63.33;75.85;;82.28
;;;;;47;73.73;69.44;;82.24
;;;;;48;69.01;42.72;;82.2
;;;;;49;68.2;34.01;;82.23
;;;;;50;64.96;29.89;;82.33
;;;;;51;52.43;27.91;;82.49
;;;;;52;50.54;22.21;;82.64
;;;;;53;52.37;31.89;;82.75
;;;;;54;52.25;41.74;;82.81
;;;;;55;44.91;57.34;;82.83
;;;;;56;38.54;62.7;;82.86
