;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
"biceps_brachii_(right)";121.39;279;5528.98;;0;23.61;18.3;0.05;84.48
"triceps_brachii_lateral_(right)";102.32;260.35;341.01;;1;21.63;17.4;;84.38
;;;;;2;20.62;16.69;;84.3
;;;;;3;20.61;17.34;;84.24
;;;;;4;16.8;15.03;;84.16
;;;;;5;16.75;14.95;;84.03
;;;;;6;19.3;16.47;;83.88
;;;;;7;19.09;15.76;;83.82
;;;;;8;18.76;16.28;;83.93
;;;;;9;20.92;18.23;;84.04
;;;;;10;19.53;17.3;;84
;;;;;11;18.82;15.92;;83.89
;;;;;12;19.41;16.17;;83.81
;;;;;13;28.88;16.36;;83.8
;;;;;14;41.1;30.52;;83.87
;;;;;15;102.4;140.39;;83.88
;;;;;16;124.86;144.39;;83.82
;;;;;17;91.39;51.85;;83.82
;;;;;18;94.78;63.98;;83.92
;;;;;19;158.75;127.44;;84.02
;;;;;20;148.62;123.34;;84.03
;;;;;21;72;54.63;;83.95
;;;;;22;64.49;76.41;;83.88
;;;;;23;71.84;94.34;;83.84
;;;;;24;68.49;72.58;;83.84
;;;;;25;107.41;46.19;;83.85
;;;;;26;131.49;62.22;;83.83
;;;;;27;167.17;118.88;;83.8
;;;;;28;180.59;139.4;;83.8
;;;;;29;125.65;98.01;;83.78
;;;;;30;93.34;118.5;;83.76
;;;;;31;80.88;135.17;;83.79
;;;;;32;40.69;113.21;;83.86
;;;;;33;139.3;92.29;;83.92
;;;;;34;199.88;76.78;;83.92
;;;;;35;199.08;134.8;;83.89
;;;;;36;174.35;154.18;;83.82
;;;;;37;120.3;104.49;;83.71
;;;;;38;98.29;144;;83.56
;;;;;39;95.49;149.2;;83.44
;;;;;40;50.39;81.65;;83.39
;;;;;41;108.56;70.35;;83.4
;;;;;42;150.68;51.97;;83.43
;;;;;43;175.97;115;;83.46
;;;;;44;186.93;179.55;;83.51
;;;;;45;141.02;149.39;;83.59
;;;;;46;95.75;121.39;;83.68
;;;;;47;185.1;150.76;;83.79
;;;;;48;174.71;106.04;;83.93
;;;;;49;107.73;52.26;;84.04
;;;;;50;166.2;71.14;;84.11
;;;;;51;256.09;244.7;;84.15
;;;;;52;240.4;260.35;;84.14
;;;;;53;117.31;112.13;;84.11
;;;;;54;157.48;176.45;;84.01
;;;;;55;145.61;185.21;;83.88
;;;;;56;47.16;68.57;;83.76
;;;;;57;121.4;53.39;;83.66
;;;;;58;174.68;86.22;;83.56
;;;;;59;254.92;176.95;;83.5
;;;;;60;243.49;181.68;;83.51
;;;;;61;108.46;88.54;;83.55
;;;;;62;70.79;157.48;;83.61
;;;;;63;95.59;185.87;;83.67
;;;;;64;85.39;109.24;;83.72
;;;;;65;104.67;51.55;;83.77
;;;;;66;126.42;73.71;;83.8
;;;;;67;217.51;187.78;;83.81
;;;;;68;236.73;203.31;;83.82
;;;;;69;150.34;107.92;;83.84
;;;;;70;135.4;180.2;;83.89
;;;;;71;139.73;206.01;;83.93
;;;;;72;106.5;110.95;;83.84
;;;;;73;113.51;57.45;;83.37
;;;;;74;176.39;144.29;;81.73
;;;;;75;228.74;208.24;;78.36
;;;;;76;188.99;177.81;;72.36
;;;;;77;88.06;84.53;;63.08
;;;;;78;85.61;138.56;;50.8
;;;;;79;127.36;167.87;;35.27
;;;;;80;126.64;107.16;;15.23
;;;;;81;120.3;57.25;;-9.2
;;;;;82;187.66;111.58;;-30.2
;;;;;83;249.71;215.67;;-41.61
;;;;;84;208.22;193.42;;-43.73
;;;;;85;155.32;50.4;;-40.19
;;;;;86;171.57;102.12;;-36.23
;;;;;87;137.82;114;;-32.3
;;;;;88;104.48;74.57;;-27.54
;;;;;89;111.25;76.62;;-21.6
;;;;;90;189.49;112.77;;-14.35
;;;;;91;279;227.64;;-7.04
;;;;;92;245.8;220.11;;-0.24
;;;;;93;137.97;98.92;;6.99
;;;;;94;119.9;79.64;;15.09
;;;;;95;90.11;59.82;;24.32
;;;;;96;107;52.82;;34.75
;;;;;97;103.18;45.95;;45.3
;;;;;98;77.77;33.23;;54.67
;;;;;99;75.31;30.68;;62.56
;;;;;100;96.31;34.42;;69.41
;;;;;;101;;;75.86
;;;;;;102;;;83.08
;;;;;;103;;;91.39
;;;;;;104;;;97.77
;;;;;;105;;;99.11
;;;;;;106;;;96.91
;;;;;;107;;;94.94
;;;;;;108;;;94.43
;;;;;;109;;;93.73
;;;;;;110;;;91.04
;;;;;;111;;;86.32
;;;;;;112;;;80.59
;;;;;;113;;;74.11
;;;;;;114;;;66.38
;;;;;;115;;;57.13
;;;;;;116;;;46.81
;;;;;;117;;;35.18
;;;;;;118;;;22.11
;;;;;;119;;;7.79
;;;;;;120;;;-6.94
;;;;;;121;;;-20.71
;;;;;;122;;;-32.99
;;;;;;123;;;-42.41
;;;;;;124;;;-47.64
;;;;;;125;;;-49.17
;;;;;;126;;;-48.57
;;;;;;127;;;-46.72
;;;;;;128;;;-44.12
;;;;;;129;;;-41.47
;;;;;;130;;;-38.61
;;;;;;131;;;-34.15
;;;;;;132;;;-26.68
;;;;;;133;;;-16.33
;;;;;;134;;;-5.72
;;;;;;135;;;3.89
;;;;;;136;;;13.62
;;;;;;137;;;24.03
;;;;;;138;;;34.94
;;;;;;139;;;45.47
;;;;;;140;;;54.46
;;;;;;141;;;62.06
;;;;;;142;;;69.32
;;;;;;143;;;76.45
;;;;;;144;;;84.71
;;;;;;145;;;93.88
;;;;;;146;;;100.24
;;;;;;147;;;101.15
;;;;;;148;;;98.55
;;;;;;149;;;96.25
;;;;;;150;;;95.29
;;;;;;151;;;93.86
;;;;;;152;;;90.03
;;;;;;153;;;82.97
