;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";54.85;121.17;5528.98;;0;28.44;28.66;0.05;66.23
"triceps_brachii_long_(right)";51.86;184.41;19046.88;;1;28.75;27.04;;66.35
;;;;;2;26.4;24.6;;66.06
;;;;;3;28.52;24.01;;65.34
;;;;;4;29.39;24;;64.59
;;;;;5;29.46;24.31;;64.07
;;;;;6;28.87;24.64;;64.03
;;;;;7;27.44;24.56;;64.28
;;;;;8;28.52;25.1;;64.53
;;;;;9;27.9;24.76;;64.89
;;;;;10;27.79;23.82;;65.57
;;;;;11;29.4;23.23;;66.5
;;;;;12;28.76;23.5;;67.41
;;;;;13;27.64;24.15;;68.07
;;;;;14;27.89;24.58;;68.4
;;;;;15;29.93;81.89;;68.54
;;;;;16;80.86;139.95;;68.7
;;;;;17;87.1;145.8;;68.96
;;;;;18;77.07;100.09;;69.19
;;;;;19;121.17;56.22;;69.28
;;;;;20;110.4;39.87;;69.25
;;;;;21;48.66;26.85;;69.14
;;;;;22;35.44;57.68;;68.97
;;;;;23;63.84;184.41;;68.73
;;;;;24;96.3;180.47;;68.52
;;;;;25;93.35;52.84;;68.39
;;;;;26;71.13;39.56;;68.31
;;;;;27;54.21;22.81;;68.26
;;;;;28;31.37;32.16;;68.25
;;;;;29;46.81;138.1;;68.23
;;;;;30;53.58;161.8;;68.21
;;;;;31;59.41;96.16;;68.29
;;;;;32;72.89;45.47;;68.5
;;;;;33;65.69;31.14;;68.8
;;;;;34;46.91;22.85;;69
;;;;;35;42.95;35.19;;68.96
;;;;;36;51.61;141.36;;68.8
;;;;;37;72.5;145.26;;68.66
;;;;;38;89.56;59.34;;68.66
;;;;;39;74.62;44.02;;68.86
;;;;;40;46.13;26.69;;69.23
;;;;;41;35.33;25.98;;69.64
;;;;;42;30.46;51.08;;69.95
;;;;;43;35.74;77.15;;70.09
;;;;;44;59.64;70.21;;70.08
;;;;;45;86.53;45.58;;70
;;;;;46;87.17;36.38;;69.93
;;;;;47;61.07;24.19;;69.92
;;;;;48;36.64;29.62;;69.93
;;;;;49;48.99;104.78;;69.93
;;;;;50;55.77;112.04;;69.94
;;;;;51;66.68;55.89;;69.98
;;;;;52;65.69;37.92;;70.06
;;;;;53;58.73;30.09;;70.15
;;;;;54;55.46;25.55;;70.2
;;;;;55;42.68;29.59;;70.19
;;;;;56;47.8;101.2;;70.13
;;;;;57;48.37;117.09;;70.04
;;;;;58;76.29;71.13;;69.97
;;;;;59;91.74;42.75;;69.93
;;;;;60;97.63;34.88;;69.92
;;;;;61;83.59;27.33;;69.93
;;;;;62;46.56;33.46;;69.96
;;;;;63;42.68;71.94;;69.99
;;;;;64;65.45;75.02;;70
;;;;;65;79.8;49.92;;69.96
;;;;;66;93.01;39.47;;69.88
;;;;;67;85.18;22.21;;69.82
;;;;;68;47.91;21.01;;69.79
;;;;;69;42.95;41;;69.77
;;;;;70;42.48;93.4;;69.71
;;;;;71;50.12;94.75;;69.66
;;;;;72;91.82;56.49;;69.67
;;;;;73;105.54;45.29;;69.7
;;;;;74;76.44;32.43;;69.76
;;;;;75;64.7;35.6;;69.83
;;;;;76;59.62;101.89;;69.93
;;;;;77;55.49;118.64;;69.99
;;;;;78;74.82;73.11;;69.94
;;;;;79;79.85;36.76;;69.84
;;;;;80;82.99;26.63;;69.76
;;;;;81;67.09;20.79;;69.81
;;;;;82;37.94;20.12;;69.86
;;;;;83;38.19;20.42;;68.31
;;;;;84;38.03;19.77;;61.46
;;;;;85;35.06;20.54;;46.7
;;;;;86;36.02;20.99;;26.54
;;;;;87;35.42;20.11;;3.09
;;;;;88;37.2;20.66;;-22.77
;;;;;89;37.12;20.83;;-44.81
;;;;;90;33.81;20.45;;-56.65
;;;;;91;34.03;20.21;;-59.98
;;;;;92;35.3;20.31;;-59.66
;;;;;93;36.2;21.44;;-57.25
;;;;;94;35.29;21.47;;-53.38
;;;;;95;35.45;21.29;;-48.21
;;;;;96;40.48;22.62;;-39.59
;;;;;;97;;;-25.31
;;;;;;98;;;-7.06
;;;;;;99;;;12.17
;;;;;;100;;;30.13
;;;;;;101;;;45.43
;;;;;;102;;;58.75
;;;;;;103;;;70.77
;;;;;;104;;;81.17
;;;;;;105;;;91.13
;;;;;;106;;;100.33
;;;;;;107;;;105.19
;;;;;;108;;;104.22
;;;;;;109;;;99.16
;;;;;;110;;;92.36
;;;;;;111;;;84.85
;;;;;;112;;;75.79
;;;;;;113;;;64.65
;;;;;;114;;;51.59
;;;;;;115;;;36.59
;;;;;;116;;;19.88
;;;;;;117;;;2.64
;;;;;;118;;;-14.85
;;;;;;119;;;-33.25
;;;;;;120;;;-48.84
;;;;;;121;;;-57.95
;;;;;;122;;;-62.77
;;;;;;123;;;-64.53
;;;;;;124;;;-62.51
;;;;;;125;;;-57.59
;;;;;;126;;;-50.01
;;;;;;127;;;-39.49
;;;;;;128;;;-25.74
;;;;;;129;;;-9.3
;;;;;;130;;;8.23
;;;;;;131;;;25.15
;;;;;;132;;;40.24
;;;;;;133;;;52.94
;;;;;;134;;;63.23
;;;;;;135;;;72.49
;;;;;;136;;;80.97
;;;;;;137;;;88.19
;;;;;;138;;;94.29
;;;;;;139;;;97.74
;;;;;;140;;;97.59
;;;;;;141;;;94.36
;;;;;;142;;;88.93
;;;;;;143;;;81.8
;;;;;;144;;;72.29
;;;;;;145;;;60.42
;;;;;;146;;;47.12
;;;;;;147;;;32.96
;;;;;;148;;;18.83
;;;;;;149;;;5.79
;;;;;;150;;;-7.29
;;;;;;151;;;-22.98
;;;;;;152;;;-39.71
;;;;;;153;;;-50.01
;;;;;;154;;;-53.16
;;;;;;155;;;-54.22
;;;;;;156;;;-53.82
;;;;;;157;;;-51.96
;;;;;;158;;;-48.89
;;;;;;159;;;-44.21
;;;;;;160;;;-36.81
;;;;;;161;;;-26.21
;;;;;;162;;;-13.23
;;;;;;163;;;0.99
;;;;;;164;;;15.37
;;;;;;165;;;29.06
;;;;;;166;;;41.89
;;;;;;167;;;53.98
;;;;;;168;;;65.25
;;;;;;169;;;75.06
;;;;;;170;;;83.36
;;;;;;171;;;90.46
;;;;;;172;;;95.16
;;;;;;173;;;97.29
;;;;;;174;;;97.54
;;;;;;175;;;96.01
;;;;;;176;;;92.51
;;;;;;177;;;86.97
;;;;;;178;;;79.33
;;;;;;179;;;69.17
;;;;;;180;;;56.71
;;;;;;181;;;41.95
;;;;;;182;;;24.46
;;;;;;183;;;4.97
;;;;;;184;;;-14.9
;;;;;;185;;;-32.8
;;;;;;186;;;-44.28
;;;;;;187;;;-49.24
;;;;;;188;;;-51.47
;;;;;;189;;;-52.44
;;;;;;190;;;-52.45
;;;;;;191;;;-51.2
;;;;;;192;;;-47.57
;;;;;;193;;;-40.34
;;;;;;194;;;-29.76
;;;;;;195;;;-16.21
;;;;;;196;;;-0.19
;;;;;;197;;;16.81
;;;;;;198;;;32.91
;;;;;;199;;;46.19
;;;;;;200;;;55.85
;;;;;;201;;;62.89
;;;;;;202;;;68.6
;;;;;;203;;;74.05
;;;;;;204;;;80.17
;;;;;;205;;;85.68
;;;;;;206;;;88.4
;;;;;;207;;;87.5
;;;;;;208;;;82.99
;;;;;;209;;;76.33
;;;;;;210;;;67.85
;;;;;;211;;;56.91
;;;;;;212;;;43.64
;;;;;;213;;;28.05
;;;;;;214;;;10.77
;;;;;;215;;;-7.1
;;;;;;216;;;-24.31
;;;;;;217;;;-38.7
;;;;;;218;;;-47.61
;;;;;;219;;;-51.66
;;;;;;220;;;-53.35
;;;;;;221;;;-53.36
;;;;;;222;;;-52.28
;;;;;;223;;;-50.72
;;;;;;224;;;-48.29
;;;;;;225;;;-43.5
;;;;;;226;;;-35.27
;;;;;;227;;;-23.9
;;;;;;228;;;-10.25
;;;;;;229;;;4.62
;;;;;;230;;;20.05
;;;;;;231;;;35.94
;;;;;;232;;;53.05
;;;;;;233;;;69.95
;;;;;;234;;;83.81
;;;;;;235;;;93.17
;;;;;;236;;;97.25
;;;;;;237;;;98.14
;;;;;;238;;;98.59
;;;;;;239;;;98.4
;;;;;;240;;;96.82
;;;;;;241;;;93.51
;;;;;;242;;;88.41
;;;;;;243;;;81.67
;;;;;;244;;;73.01
;;;;;;245;;;62.17
;;;;;;246;;;48.91
;;;;;;247;;;33.28
;;;;;;248;;;15.49
;;;;;;249;;;-3.04
;;;;;;250;;;-21.4
;;;;;;251;;;-39.27
;;;;;;252;;;-51.28
;;;;;;253;;;-56.11
;;;;;;254;;;-57.33
;;;;;;255;;;-56.68
;;;;;;256;;;-54.69
;;;;;;257;;;-51.98
;;;;;;258;;;-48.81
;;;;;;259;;;-43.5
;;;;;;260;;;-34.21
;;;;;;261;;;-21.48
;;;;;;262;;;-6.95
;;;;;;263;;;8.27
;;;;;;264;;;23.41
;;;;;;265;;;38.1
;;;;;;266;;;52.31
;;;;;;267;;;65.31
;;;;;;268;;;75.96
;;;;;;269;;;84.5
;;;;;;270;;;92.17
;;;;;;271;;;98.04
;;;;;;272;;;100.78
;;;;;;273;;;101.12
;;;;;;274;;;100.22
;;;;;;275;;;98.78
;;;;;;276;;;96.43
;;;;;;277;;;91.93
;;;;;;278;;;85.22
;;;;;;279;;;76.61
;;;;;;280;;;65.76
;;;;;;281;;;52.6
;;;;;;282;;;37.06
;;;;;;283;;;20.59
;;;;;;284;;;5.12
;;;;;;285;;;-10.07
;;;;;;286;;;-26.53
;;;;;;287;;;-42.95
;;;;;;288;;;-55.02
;;;;;;289;;;-60.04
;;;;;;290;;;-60.11
;;;;;;291;;;-58.19
;;;;;;292;;;-55.54
;;;;;;293;;;-51.84
;;;;;;294;;;-45.92
;;;;;;295;;;-37.6
;;;;;;296;;;-27.09
;;;;;;297;;;-14.22
;;;;;;298;;;0.33
