;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";71.03;226.81;5528.98;;0;19.03;14.3;0.05;73.86
"triceps_brachii_long_(right)";55.75;233.08;19046.88;;1;26.52;17.62;;73.87
;;;;;2;22.09;14.51;;73.93
;;;;;3;14.34;10.01;;74.01
;;;;;4;21.32;13.28;;74.06
;;;;;5;21.77;14.23;;74.03
;;;;;6;15.89;11.06;;73.82
;;;;;7;13.87;9.63;;73.17
;;;;;8;14.83;10.33;;71.71
;;;;;9;13.47;10.3;;69.75
;;;;;10;14.96;11.33;;68.35
;;;;;11;17.21;11.68;;68.29
;;;;;12;15.67;10.08;;69.31
;;;;;13;15.76;11.49;;70.46
;;;;;14;16.96;12.96;;71.12
;;;;;15;16.51;15.07;;71.11
;;;;;16;12.1;15.51;;70.64
;;;;;17;17.14;30.99;;70.19
;;;;;18;49.54;45.28;;70.08
;;;;;19;88.66;48.77;;70.03
;;;;;20;141.28;83.4;;69.75
;;;;;21;125.89;77.88;;69.34
;;;;;22;43.99;24.74;;69.06
;;;;;23;24.77;23.27;;69.04
;;;;;24;24.17;31.84;;69.25
;;;;;25;84.17;49.49;;69.58
;;;;;26;122.73;78.18;;69.64
;;;;;27;105.52;78.67;;69.2
;;;;;28;54.43;42.79;;68.47
;;;;;29;20.99;18.71;;67.77
;;;;;30;19.91;28.6;;67.31
;;;;;31;136.05;59.13;;67.08
;;;;;32;149.55;157.35;;66.85
;;;;;33;94.08;158.91;;66.39
;;;;;34;71.64;61.67;;65.81
;;;;;35;21.06;24.08;;65.37
;;;;;36;22.35;34.82;;65.19
;;;;;37;30.48;45.24;;65.27
;;;;;38;108.56;57.07;;65.53
;;;;;39;226.81;228.72;;65.9
;;;;;40;217.1;233.08;;66.37
;;;;;41;88.09;69.65;;66.86
;;;;;42;35.56;31.1;;67.17
;;;;;43;23.6;38.24;;67.1
;;;;;44;92.8;54.35;;66.71
;;;;;45;177.12;105.22;;66.28
;;;;;46;169.47;115.29;;66
;;;;;47;81.74;65.35;;65.86
;;;;;48;34.33;20.38;;65.75
;;;;;49;28.4;55.52;;65.62
;;;;;50;83.25;64.14;;65.47
;;;;;51;131.84;68.1;;65.32
;;;;;52;139.24;87.87;;65.21
;;;;;53;95.35;68.08;;65.04
;;;;;54;31.14;20.96;;64.7
;;;;;55;25.36;49.91;;64.17
;;;;;56;110.63;60.44;;63.55
;;;;;57;172.7;75.39;;63.03
;;;;;58;155.31;93.79;;62.69
;;;;;59;84.7;68.69;;62.39
;;;;;60;34.53;21.14;;62.07
;;;;;61;24.27;62.93;;61.76
;;;;;62;79.91;70.32;;61.55
;;;;;63;114.54;65.31;;61.54
;;;;;64;113.05;84.1;;61.81
;;;;;65;83.86;67.4;;62.28
;;;;;66;41.31;28.86;;62.8
;;;;;67;26.87;48.16;;63.25
;;;;;68;57.72;51.95;;63.71
;;;;;69;152.51;94.73;;64.15
;;;;;70;153.86;105.05;;64.47
;;;;;71;72;75.11;;64.75
;;;;;72;47.78;58.04;;65.11
;;;;;73;24.91;44;;65.61
;;;;;74;51.2;54.52;;66.28
;;;;;75;132.24;64.77;;66.84
;;;;;76;158.28;85.39;;67.15
;;;;;77;165.65;130.48;;67.26
;;;;;78;145.41;124.77;;67.24
;;;;;79;79.04;74.92;;67.16
;;;;;80;59.63;57.63;;67.13
;;;;;81;39.3;32.07;;67.22
;;;;;82;46.06;33.93;;67.25
;;;;;83;54.07;40.23;;66.76
;;;;;84;25.67;14.17;;64.97
;;;;;;85;;;61.57
;;;;;;86;;;56.74
;;;;;;87;;;49.81
;;;;;;88;;;40.1
;;;;;;89;;;27.07
;;;;;;90;;;10.7
;;;;;;91;;;-7.1
;;;;;;92;;;-23.63
;;;;;;93;;;-34.98
;;;;;;94;;;-40.96
;;;;;;95;;;-44.5
;;;;;;96;;;-46.2
;;;;;;97;;;-45.45
;;;;;;98;;;-41.26
;;;;;;99;;;-33.45
;;;;;;100;;;-22.43
;;;;;;101;;;-10.46
;;;;;;102;;;1.04
;;;;;;103;;;13.07
;;;;;;104;;;25.29
;;;;;;105;;;36.83
;;;;;;106;;;47.33
;;;;;;107;;;56.33
;;;;;;108;;;64.41
;;;;;;109;;;72.68
;;;;;;110;;;81.78
;;;;;;111;;;90.52
;;;;;;112;;;93.89
;;;;;;113;;;90.73
;;;;;;114;;;85.04
;;;;;;115;;;78.42
;;;;;;116;;;71.09
;;;;;;117;;;63.43
;;;;;;118;;;55.23
;;;;;;119;;;45.64
;;;;;;120;;;34.69
;;;;;;121;;;22.93
;;;;;;122;;;9.37
;;;;;;123;;;-4.89
;;;;;;124;;;-17.03
;;;;;;125;;;-28.13
;;;;;;126;;;-37.7
;;;;;;127;;;-43.66
;;;;;;128;;;-46.49
;;;;;;129;;;-45.9
;;;;;;130;;;-41.55
;;;;;;131;;;-33.51
;;;;;;132;;;-22.21
;;;;;;133;;;-10.09
;;;;;;134;;;2
;;;;;;135;;;14.83
;;;;;;136;;;28.03
;;;;;;137;;;40.91
;;;;;;138;;;52.97
;;;;;;139;;;63.33
;;;;;;140;;;71.16
;;;;;;141;;;78.48
;;;;;;142;;;86.97
;;;;;;143;;;93.24
;;;;;;144;;;93.57
;;;;;;145;;;89.49
;;;;;;146;;;83.37
;;;;;;147;;;75.69
;;;;;;148;;;67.31
;;;;;;149;;;57.91
