;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";62.98;156.81;5528.98;;0;9.16;4.38;0.05;93.55
"triceps_brachii_long_(right)";47.51;149.42;19046.88;;1;12.41;4.95;;93.73
;;;;;2;16.68;7.6;;93.77
;;;;;3;21.54;12.96;;93.64
;;;;;4;21.19;12.32;;93.26
;;;;;5;15.63;6.49;;93.04
;;;;;6;14.21;4.48;;93.21
;;;;;7;14.06;3.79;;93.58
;;;;;8;14.25;3.92;;93.74
;;;;;9;14.05;4.2;;93.63
;;;;;10;13.15;4.28;;93.38
;;;;;11;13.33;4.23;;93.17
;;;;;12;14.17;4.18;;93.23
;;;;;13;14.24;4.33;;93.64
;;;;;14;27.9;44.8;;94.31
;;;;;15;47.67;72.64;;94.93
;;;;;16;101.57;68.11;;95.23
;;;;;17;109.17;39.23;;95.22
;;;;;18;86.79;19.97;;95.04
;;;;;19;71.6;98.87;;94.77
;;;;;20;69.48;149.42;;94.28
;;;;;21;67.95;122.05;;93.1
;;;;;22;39.86;59.28;;90.91
;;;;;23;47.73;42.69;;88.3
;;;;;24;66.84;18.69;;86.08
;;;;;25;77.66;18.89;;84.64
;;;;;26;62.98;41.82;;84.05
;;;;;27;67.75;100.53;;84.29
;;;;;28;76.43;99.26;;85.04
;;;;;29;51.32;42.64;;85.98
;;;;;30;34.68;98.34;;86.93
;;;;;31;55.18;96.11;;87.76
;;;;;32;62.17;19.36;;88.34
;;;;;33;61.07;17;;88.72
;;;;;34;55.67;22.52;;89.01
;;;;;35;55.15;61.03;;89.31
;;;;;36;71.24;60.59;;89.67
;;;;;37;57.04;34.95;;90.04
;;;;;38;27.63;51.81;;90.36
;;;;;39;29.82;58.05;;90.58
;;;;;40;37.79;42.17;;90.73
;;;;;41;83.62;22.49;;90.82
;;;;;42;109.8;25.76;;90.89
;;;;;43;93.89;103.13;;90.91
;;;;;44;88.94;139.3;;90.87
;;;;;45;80.93;101.14;;90.78
;;;;;46;41.29;32.15;;90.72
;;;;;47;41.06;65.67;;90.72
;;;;;48;52.42;64.46;;90.74
;;;;;49;64.4;20.09;;90.75
;;;;;50;68.88;19.54;;90.75
;;;;;51;103.19;83.64;;90.78
;;;;;52;134.76;89.83;;90.85
;;;;;53;99.82;45.66;;90.94
;;;;;54;44.11;59.94;;90.98
;;;;;55;53.22;66.14;;90.98
;;;;;56;52.15;41.34;;90.96
;;;;;57;115.23;24.25;;90.92
;;;;;58;131.92;29.67;;90.87
;;;;;59;90.07;42.41;;90.83
;;;;;60;152.56;89.64;;90.79
;;;;;61;156.81;89.69;;90.76
;;;;;62;66.31;65.24;;90.71
;;;;;63;52.06;71.19;;90.6
;;;;;64;51.65;60.96;;90.46
;;;;;65;49.7;40.35;;90.41
;;;;;66;90.56;20.24;;90.42
;;;;;67;117.62;65.51;;90.4
;;;;;68;128.65;86.07;;90.32
;;;;;69;105.13;60.85;;90.25
;;;;;70;83.66;38.2;;90.27
;;;;;71;74.34;65.04;;90.33
;;;;;72;61.08;67.69;;90.32
;;;;;73;101.82;41.63;;90.22
;;;;;74;100.43;20.55;;90.04
;;;;;75;82.55;60.13;;89.87
;;;;;76;136.26;88.59;;90.39
;;;;;77;127.41;67.94;;92.62
;;;;;78;56.03;34.32;;95.62
;;;;;79;41;57.01;;94.13
;;;;;80;64.61;65.82;;84.11
;;;;;81;94.2;49.03;;67.83
;;;;;82;125.8;35.29;;47.91
;;;;;83;112.2;48.08;;26.45
;;;;;84;70.43;70.04;;6.9
;;;;;85;102.36;63.97;;-10.04
;;;;;86;89.09;58.27;;-25.4
;;;;;87;57.61;62.24;;-39.19
;;;;;88;69.23;83.16;;-50.29
;;;;;89;79.34;78.1;;-57.64
;;;;;90;92.62;21.57;;-61.43
;;;;;91;85.59;22.24;;-62.82
;;;;;92;79.8;102.76;;-61.91
;;;;;93;73.66;104.64;;-57.6
;;;;;94;44.67;28.45;;-49.82
;;;;;95;23.7;19.57;;-39.45
;;;;;96;20.3;16.81;;-26.8
;;;;;97;16.39;13.38;;-11.92
;;;;;98;16.32;13.92;;4.18
;;;;;99;15.38;14.6;;19.94
;;;;;100;14.11;12.91;;35.4
;;;;;101;12.78;11.37;;51.33
;;;;;102;12.35;13.49;;67.44
;;;;;103;13.21;14.34;;82.91
;;;;;104;13.08;13.87;;96.97
;;;;;;105;;;109.3
;;;;;;106;;;117.67
;;;;;;107;;;120.65
;;;;;;108;;;119.89
;;;;;;109;;;114.95
;;;;;;110;;;104.87
;;;;;;111;;;90.98
;;;;;;112;;;76.91
;;;;;;113;;;64.27
;;;;;;114;;;51.54
;;;;;;115;;;38.25
;;;;;;116;;;24.84
;;;;;;117;;;12.57
;;;;;;118;;;2
;;;;;;119;;;-7.54
;;;;;;120;;;-16.81
;;;;;;121;;;-25.92
;;;;;;122;;;-34.3
;;;;;;123;;;-41.45
;;;;;;124;;;-46.72
;;;;;;125;;;-49.46
;;;;;;126;;;-49.56
;;;;;;127;;;-46.86
;;;;;;128;;;-41.07
;;;;;;129;;;-32.36
;;;;;;130;;;-20.94
;;;;;;131;;;-7.21
;;;;;;132;;;7.21
;;;;;;133;;;20.49
;;;;;;134;;;32.4
;;;;;;135;;;44.04
;;;;;;136;;;56.53
;;;;;;137;;;70.28
;;;;;;138;;;87.55
;;;;;;139;;;107.24
;;;;;;140;;;122.51
;;;;;;141;;;130.71
;;;;;;142;;;131.59
;;;;;;143;;;128.1
;;;;;;144;;;125.71
;;;;;;145;;;124.4
;;;;;;146;;;122.57
;;;;;;147;;;120.37
;;;;;;148;;;118.58
;;;;;;149;;;116.12
;;;;;;150;;;110.68
;;;;;;151;;;101.41
;;;;;;152;;;89.36
;;;;;;153;;;76.16
;;;;;;154;;;62.5
;;;;;;155;;;47.93
;;;;;;156;;;31.48
;;;;;;157;;;13.61
;;;;;;158;;;-3.05
;;;;;;159;;;-16.58
;;;;;;160;;;-27.84
;;;;;;161;;;-37.47
;;;;;;162;;;-44.69
;;;;;;163;;;-48.84
;;;;;;164;;;-50.25
;;;;;;165;;;-49.71
;;;;;;166;;;-47.34
;;;;;;167;;;-43.64
;;;;;;168;;;-39.06
;;;;;;169;;;-33.43
;;;;;;170;;;-26.63
;;;;;;171;;;-18.68
;;;;;;172;;;-9.77
;;;;;;173;;;-0.19
;;;;;;174;;;9.89
;;;;;;175;;;20.11
;;;;;;176;;;30.05
;;;;;;177;;;39.64
;;;;;;178;;;48.86
;;;;;;179;;;57.9
;;;;;;180;;;67.04
;;;;;;181;;;76.65
;;;;;;182;;;86.99
;;;;;;183;;;97.52
;;;;;;184;;;106.22
;;;;;;185;;;111.48
;;;;;;186;;;113.55
;;;;;;187;;;113.13
;;;;;;188;;;111.64
;;;;;;189;;;110.53
;;;;;;190;;;109.82
;;;;;;191;;;107.94
;;;;;;192;;;103.29
;;;;;;193;;;95.55
;;;;;;194;;;85.52
;;;;;;195;;;74.26
;;;;;;196;;;61.87
;;;;;;197;;;47.75
;;;;;;198;;;31.91
;;;;;;199;;;16.14
;;;;;;200;;;2.35
;;;;;;201;;;-10.09
;;;;;;202;;;-22.49
;;;;;;203;;;-34.11
;;;;;;204;;;-43.86
;;;;;;205;;;-51.52
;;;;;;206;;;-56.65
;;;;;;207;;;-59.17
;;;;;;208;;;-59.37
;;;;;;209;;;-57.47
;;;;;;210;;;-53.83
;;;;;;211;;;-48.92
;;;;;;212;;;-42.96
;;;;;;213;;;-35.8
;;;;;;214;;;-26.93
;;;;;;215;;;-16.37
;;;;;;216;;;-5.05
;;;;;;217;;;5.78
;;;;;;218;;;16.37
;;;;;;219;;;27.34
;;;;;;220;;;38.82
;;;;;;221;;;50.89
;;;;;;222;;;63.64
;;;;;;223;;;77.99
;;;;;;224;;;93.87
;;;;;;225;;;105.95
;;;;;;226;;;110.93
;;;;;;227;;;111.39
;;;;;;228;;;110.77
;;;;;;229;;;111.44
;;;;;;230;;;112.91
;;;;;;231;;;114.19
;;;;;;232;;;114.8
;;;;;;233;;;114.22
;;;;;;234;;;111.73
;;;;;;235;;;106.51
;;;;;;236;;;98.77
;;;;;;237;;;89.52
;;;;;;238;;;78.92
;;;;;;239;;;66.2
;;;;;;240;;;50.64
;;;;;;241;;;31.14
;;;;;;242;;;9.14
;;;;;;243;;;-10.39
;;;;;;244;;;-25.41
;;;;;;245;;;-36.66
;;;;;;246;;;-44.22
;;;;;;247;;;-48.73
;;;;;;248;;;-50.7
;;;;;;249;;;-50.63
;;;;;;250;;;-48.86
;;;;;;251;;;-45.38
;;;;;;252;;;-40
;;;;;;253;;;-32.4
;;;;;;254;;;-22.69
;;;;;;255;;;-11.32
;;;;;;256;;;1.11
;;;;;;257;;;13.92
;;;;;;258;;;26.72
;;;;;;259;;;39.43
;;;;;;260;;;51.65
;;;;;;261;;;63.4
;;;;;;262;;;76
;;;;;;263;;;91.78
;;;;;;264;;;109.47
;;;;;;265;;;123.85
;;;;;;266;;;128.91
;;;;;;267;;;125.74
;;;;;;268;;;121.93
;;;;;;269;;;120.62
;;;;;;270;;;120.82
;;;;;;271;;;120.22
;;;;;;272;;;116.55
;;;;;;273;;;109.46
;;;;;;274;;;99.7
;;;;;;275;;;88.38
;;;;;;276;;;76.26
;;;;;;277;;;62.56
;;;;;;278;;;46.5
;;;;;;279;;;30.5
;;;;;;280;;;17.18
;;;;;;281;;;5.6
;;;;;;282;;;-5.93
;;;;;;283;;;-17.57
;;;;;;284;;;-28.59
;;;;;;285;;;-38.29
;;;;;;286;;;-46.24
;;;;;;287;;;-52.16
;;;;;;288;;;-55.67
;;;;;;289;;;-56.69
;;;;;;290;;;-56
;;;;;;291;;;-53.91
;;;;;;292;;;-49.88
;;;;;;293;;;-44.05
;;;;;;294;;;-36.63
;;;;;;295;;;-26.41
;;;;;;296;;;-12.56
;;;;;;297;;;3.77
;;;;;;298;;;20.45
;;;;;;299;;;35.98
;;;;;;300;;;49.45
;;;;;;301;;;60.05
;;;;;;302;;;68.98
;;;;;;303;;;78.54
;;;;;;304;;;89.99
;;;;;;305;;;103.8
;;;;;;306;;;119.96
;;;;;;307;;;138.24
;;;;;;308;;;153.56
;;;;;;309;;;155.46
;;;;;;310;;;148.07
;;;;;;311;;;142.68
;;;;;;312;;;136.01
;;;;;;313;;;125.55
;;;;;;314;;;114.47
;;;;;;315;;;104.23
;;;;;;316;;;94.83
;;;;;;317;;;86.27
;;;;;;318;;;78.29
;;;;;;319;;;69.79
;;;;;;320;;;59.76
;;;;;;321;;;48.14
;;;;;;322;;;35.62
;;;;;;323;;;22.37
;;;;;;324;;;8.11
;;;;;;325;;;-6.4
;;;;;;326;;;-19.15
;;;;;;327;;;-29.62
;;;;;;328;;;-38.46
;;;;;;329;;;-45.45
;;;;;;330;;;-50.13
;;;;;;331;;;-52.49
;;;;;;332;;;-52.5
;;;;;;333;;;-50.21
