;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";132.74;686.43;5528.98;;0;41.01;15.8;0.05;60.96
"triceps_brachii_long_(right)";58.36;374.91;19046.88;;1;38.94;16.34;;60.99
;;;;;2;45.77;19.21;;60.98
;;;;;3;46.78;19.66;;60.94
;;;;;4;38.8;17.69;;60.9
;;;;;5;40.59;16.63;;60.86
;;;;;6;43.23;16.54;;60.81
;;;;;7;38.77;15.38;;60.76
;;;;;8;35.16;16.01;;60.72
;;;;;9;31.26;16.15;;60.7
;;;;;10;30.89;15.35;;60.66
;;;;;11;35.6;17.07;;60.6
;;;;;12;37.17;16.18;;60.56
;;;;;13;34.26;15.58;;60.56
;;;;;14;35.08;17.29;;60.61
;;;;;15;42.36;17.68;;60.69
;;;;;16;45.27;17.43;;60.78
;;;;;17;46.16;21.79;;60.89
;;;;;18;57.92;24.2;;61
;;;;;19;69.71;23.7;;61.07
;;;;;20;59.23;26.16;;61.07
;;;;;21;134.88;27.05;;61.08
;;;;;22;136.35;23.87;;61.16
;;;;;23;87.92;30.29;;61.33
;;;;;24;295.73;56.41;;61.45
;;;;;25;326.34;62.92;;61.43
;;;;;26;191.86;46.97;;61.31
;;;;;27;141.67;44.1;;61.2
;;;;;28;156.35;49.48;;61.14
;;;;;29;156.05;43.24;;61.07
;;;;;30;100.2;29.28;;60.95
;;;;;31;51.5;21.3;;60.83
;;;;;32;43.48;87.09;;60.78
;;;;;33;27.15;87.73;;60.76
;;;;;34;17.71;35.18;;60.71
;;;;;35;35.2;52.89;;60.71
;;;;;36;197.27;59.05;;60.79
;;;;;37;267.04;61.48;;60.91
;;;;;38;208.68;52.63;;61
;;;;;39;142.39;33.89;;61.02
;;;;;40;130.39;33.73;;61.01
;;;;;41;101;29.45;;60.99
;;;;;42;90.77;25.14;;60.99
;;;;;43;92.58;53.56;;61
;;;;;44;77.26;149.49;;60.98
;;;;;45;52.99;162.44;;60.94
;;;;;46;56.16;94.05;;60.95
;;;;;47;197.88;66.09;;61.13
;;;;;48;375.52;66.78;;61.42
;;;;;49;454.48;85.56;;61.68
;;;;;50;608.31;116.85;;61.85
;;;;;51;686.43;124.17;;61.92
;;;;;52;456.3;83.33;;61.89
;;;;;53;89.16;22.55;;61.78
;;;;;54;79.16;38.29;;61.68
;;;;;55;64.22;81.9;;61.7
;;;;;56;39.54;121.62;;61.81
;;;;;57;33;110.75;;61.87
;;;;;58;104.95;63.37;;61.83
;;;;;59;203.28;46.85;;61.7
;;;;;60;212.55;48.81;;61.51
;;;;;61;555.59;98.11;;61.31
;;;;;62;559.63;96.51;;61.15
;;;;;63;154.62;35.13;;61.02
;;;;;64;86;29.98;;60.92
;;;;;65;82.85;52.49;;60.88
;;;;;66;83.63;140.68;;60.91
;;;;;67;63.56;163.42;;60.95
