;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";212.81;444.93;5528.98;;0;122.48;37.28;0.05;52.03
"triceps_brachii_long_(right)";69.86;178.61;19046.88;;1;137.02;42.92;;52.03
;;;;;2;109.53;34.71;;52.04
;;;;;3;76.5;22.43;;52.09
;;;;;4;78.42;24.21;;52.15
;;;;;5;74.29;24.33;;52.21
;;;;;6;66.27;24.86;;52.29
;;;;;7;74.12;26.36;;52.39
;;;;;8;88.29;26.77;;52.5
;;;;;9;103.81;29.05;;52.55
;;;;;10;86.69;22.68;;52.55
;;;;;11;48.4;21.25;;52.55
;;;;;12;68.16;49.61;;52.64
;;;;;13;221.24;74.23;;52.73
;;;;;14;328.29;115.3;;52.77
;;;;;15;414.37;178.61;;52.72
;;;;;16;348.3;153.33;;52.61
;;;;;17;126.96;40.21;;52.5
;;;;;18;75.88;27.98;;52.39
;;;;;19;140.86;44.3;;52.3
;;;;;20;339.9;77.96;;52.24
;;;;;21;360.91;111.38;;52.18
;;;;;22;256.22;111.73;;52.13
;;;;;23;183.71;70.08;;52.11
;;;;;24;86.17;32.54;;52.09
;;;;;25;138.04;41.56;;52.09
;;;;;26;262.8;77;;52.12
;;;;;27;397.92;150.52;;52.17
;;;;;28;383.28;153.99;;52.23
;;;;;29;222.05;81.62;;52.26
;;;;;30;100.07;45.56;;52.25
;;;;;31;137.01;53.98;;52.22
;;;;;32;289.46;102.25;;52.23
;;;;;33;431.09;154.32;;52.27
;;;;;34;408.14;137.38;;52.33
;;;;;35;231.7;67.53;;52.38
;;;;;36;116.09;38.07;;52.42
;;;;;37;270.71;72.17;;52.46
;;;;;38;380.93;110.13;;52.46
;;;;;39;444.93;153.73;;52.43
;;;;;40;373.13;130.52;;52.41
;;;;;41;165.23;42.35;;52.41
;;;;;42;57.98;21.89;;52.42
;;;;;43;213.39;45.54;;52.43
;;;;;44;330.45;78.78;;52.45
;;;;;45;402.56;102.83;;52.45
;;;;;46;370.55;90.63;;52.43
;;;;;47;216.31;49.84;;52.39
;;;;;48;106.12;31.76;;52.36
;;;;;49;171.68;41.03;;52.32
;;;;;50;257.84;67.44;;52.3
;;;;;51;308.26;104.39;;52.4
;;;;;52;296.21;114.31;;52.5
;;;;;53;190.91;77.24;;52.37
;;;;;54;104.15;39.93;;51.97
;;;;;55;201.82;54.3;;51.42
;;;;;56;250.29;73.33;;50.73
;;;;;57;347.72;135.79;;49.82
;;;;;58;357.09;129.88;;48.37
;;;;;59;206.44;45.83;;45.89
;;;;;60;143.55;22.06;;41.75
;;;;;61;230.33;49.47;;35.52
;;;;;62;242.93;60.43;;27.51
;;;;;63;217.19;70;;17.85
;;;;;64;249.62;97.53;;5.53
;;;;;65;194.02;80.02;;-9.06
;;;;;66;153.14;36.17;;-23.45
;;;;;67;277.15;68.04;;-33.89
;;;;;68;276.74;72.3;;-38.22
;;;;;69;243;87.16;;-38.51
;;;;;70;248.7;93.1;;-36.68
;;;;;71;181.3;64.6;;-33.53
;;;;;72;128.52;51.07;;-29.34
;;;;;73;114.7;47.44;;-23.39
