;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_deltoideus_anterior_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_deltoideus_anterior_(right)_triceps_brachii_long_(right)
"deltoideus_anterior_(right)";71.46;150.95;218.96;;0;72.77;8.35;0.05;59.29
"triceps_brachii_long_(right)";39.5;124.77;19046.88;;1;65.96;8.04;;59.34
;;;;;2;72.25;6.97;;59.53
;;;;;3;71.07;6.64;;59.96
;;;;;4;60.16;6.15;;60.53
;;;;;5;60.11;5.63;;61
;;;;;6;62.22;5.8;;61.29
;;;;;7;64.59;6.18;;61.44
;;;;;8;72.58;6.01;;61.46
;;;;;9;70.21;5.93;;61.43
;;;;;10;62.61;6.49;;61.46
;;;;;11;65.59;6.12;;61.55
;;;;;12;60.84;5.29;;61.68
;;;;;13;58.61;5.05;;61.81
;;;;;14;61.63;5.29;;61.87
;;;;;15;59.56;5.53;;61.84
;;;;;16;56.74;5.59;;61.72
;;;;;17;64.32;5.68;;61.5
;;;;;18;68.34;6.2;;61.16
;;;;;19;64.14;6.03;;60.7
;;;;;20;66.13;5.53;;60.19
;;;;;21;63.79;5.53;;59.8
;;;;;22;62.43;5.59;;59.54
;;;;;23;66.07;5.92;;59.39
;;;;;24;73.2;5.96;;59.33
;;;;;25;84.37;10.54;;59.35
;;;;;26;92.71;49.61;;59.43
;;;;;27;76.53;87.45;;59.53
;;;;;28;51.1;77.81;;59.57
;;;;;29;84.69;42.92;;59.54
;;;;;30;95.23;46.63;;59.55
;;;;;31;82.24;39.8;;59.61
;;;;;32;65.32;52.53;;59.61
;;;;;33;46.64;120.73;;59.52
;;;;;34;56.35;124.77;;59.41
;;;;;35;92.98;74.64;;59.3
;;;;;36;118.59;56.67;;59.17
;;;;;37;96.49;39.31;;59.02
;;;;;38;65.15;44.26;;58.88
;;;;;39;53.73;89.06;;58.82
;;;;;40;50.06;86.58;;58.8
;;;;;41;85.59;44.22;;58.74
;;;;;42;95.15;44.05;;58.7
;;;;;43;84.06;37.46;;58.75
;;;;;44;74.32;37.56;;58.85
;;;;;45;52.4;68.93;;58.96
;;;;;46;72.4;72.62;;59.05
;;;;;47;96.76;58.65;;59.1
;;;;;48;107.64;52.02;;59.11
;;;;;49;85.37;49.78;;59.12
;;;;;50;32.85;68.17;;59.17
;;;;;51;31.87;94.23;;59.23
;;;;;52;47.76;91;;59.28
;;;;;53;74.85;55.78;;59.33
;;;;;54;86.88;53.55;;59.39
;;;;;55;97.64;48.49;;59.42
;;;;;56;109.17;43.6;;59.38
;;;;;57;80.89;72.62;;59.32
;;;;;58;34.23;105.76;;59.22
;;;;;59;74.79;96.46;;59.07
;;;;;60;106.87;54.8;;58.92
;;;;;61;122.57;45.57;;58.79
;;;;;62;106.48;44.3;;58.71
;;;;;63;55.97;52.99;;58.65
;;;;;64;26.32;60.71;;58.56
;;;;;65;61.51;51.03;;58.45
;;;;;66;79.31;42.51;;58.32
;;;;;67;143.84;53.32;;58.18
;;;;;68;150.95;67.01;;58.07
;;;;;69;74.61;106.52;;58.02
;;;;;70;44.18;98.98;;58
;;;;;71;75.48;43.98;;57.97
;;;;;72;84.02;59.34;;57.93
;;;;;73;88.52;56.48;;57.89
;;;;;74;77.34;48.04;;57.9
;;;;;75;42.17;58.7;;57.92
;;;;;76;43.55;54.43;;57.95
;;;;;77;58.63;45.61;;57.97
;;;;;78;94.77;38.61;;57.97
;;;;;79;112.69;51.59;;58.01
;;;;;80;89.31;43.85;;58.11
;;;;;81;43.83;31.11;;58.27
;;;;;82;26.33;55.18;;58.48
;;;;;83;51.44;59.2;;58.63
;;;;;84;82.93;49.02;;58.69
;;;;;85;79.46;44.21;;58.71
;;;;;86;97.29;31.39;;58.74
;;;;;87;104.75;13.75;;58.77
;;;;;88;69.31;8.49;;58.78
;;;;;89;61.83;7.76;;58.73
;;;;;90;58.7;7.82;;58.61
;;;;;91;55.92;8.17;;58.5
;;;;;92;62.14;8.59;;58.45
;;;;;93;58.98;7.77;;58.47
;;;;;94;52.55;7.18;;58.49
;;;;;95;56.46;11.69;;58.47
;;;;;96;53.99;16.37;;58.39
;;;;;97;46.19;19.35;;58.32
;;;;;98;44.59;16.06;;58.33
;;;;;99;48.77;9.23;;58.43
;;;;;100;60.38;9.33;;58.56
;;;;;;101;;;58.63
;;;;;;102;;;58.67
;;;;;;103;;;58.77
;;;;;;104;;;58.86
;;;;;;105;;;58.87
;;;;;;106;;;58.83
;;;;;;107;;;58.81
;;;;;;108;;;58.75
;;;;;;109;;;58.68
;;;;;;110;;;58.69
;;;;;;111;;;58.72
;;;;;;112;;;58.69
;;;;;;113;;;58.63
;;;;;;114;;;58.53
;;;;;;115;;;58.42
;;;;;;116;;;58.4
;;;;;;117;;;58.48
;;;;;;118;;;58.58
;;;;;;119;;;58.63
;;;;;;120;;;58.67
;;;;;;121;;;58.7
;;;;;;122;;;58.72
;;;;;;123;;;58.74
;;;;;;124;;;58.77
;;;;;;125;;;58.77
;;;;;;126;;;58.73
;;;;;;127;;;58.72
;;;;;;128;;;58.8
;;;;;;129;;;58.89
;;;;;;130;;;58.9
;;;;;;131;;;58.81
;;;;;;132;;;58.64
;;;;;;133;;;58.25
;;;;;;134;;;57.32
;;;;;;135;;;54.72
;;;;;;136;;;48.53
;;;;;;137;;;36.99
;;;;;;138;;;21.33
;;;;;;139;;;3.99
;;;;;;140;;;-14.28
;;;;;;141;;;-33.92
;;;;;;142;;;-52.14
;;;;;;143;;;-66.2
;;;;;;144;;;-75.18
;;;;;;145;;;-79.15
;;;;;;146;;;-80.13
;;;;;;147;;;-78.92
;;;;;;148;;;-76.13
;;;;;;149;;;-71.86
;;;;;;150;;;-65.86
;;;;;;151;;;-57.77
;;;;;;152;;;-46.31
;;;;;;153;;;-31.07
;;;;;;154;;;-14.59
;;;;;;155;;;0.61
;;;;;;156;;;14.87
;;;;;;157;;;29.3
;;;;;;158;;;43.38
;;;;;;159;;;55.38
;;;;;;160;;;64.7
;;;;;;161;;;70.48
;;;;;;162;;;72.91
;;;;;;163;;;73.87
;;;;;;164;;;72.93
;;;;;;165;;;68.69
;;;;;;166;;;60.25
;;;;;;167;;;47.14
;;;;;;168;;;30.26
;;;;;;169;;;11.14
;;;;;;170;;;-8.93
;;;;;;171;;;-27.53
;;;;;;172;;;-42.25
;;;;;;173;;;-54.61
;;;;;;174;;;-66.1
;;;;;;175;;;-74.07
;;;;;;176;;;-77.34
;;;;;;177;;;-77.58
;;;;;;178;;;-75.53
;;;;;;179;;;-70.61
;;;;;;180;;;-63.17
;;;;;;181;;;-53.51
;;;;;;182;;;-41.04
;;;;;;183;;;-26.1
;;;;;;184;;;-9.63
;;;;;;185;;;7.39
;;;;;;186;;;24.43
;;;;;;187;;;40.03
;;;;;;188;;;52.64
;;;;;;189;;;62.1
;;;;;;190;;;68.03
;;;;;;191;;;70.57
;;;;;;192;;;70.08
;;;;;;193;;;67.02
;;;;;;194;;;62.34
;;;;;;195;;;55.42
;;;;;;196;;;44.53
;;;;;;197;;;30.23
;;;;;;198;;;12.71
;;;;;;199;;;-7.11
;;;;;;200;;;-26.31
;;;;;;201;;;-43.59
;;;;;;202;;;-58.21
;;;;;;203;;;-69.79
;;;;;;204;;;-76.7
;;;;;;205;;;-79.39
;;;;;;206;;;-78.87
;;;;;;207;;;-76.09
;;;;;;208;;;-72.69
;;;;;;209;;;-67.4
;;;;;;210;;;-59.92
;;;;;;211;;;-50.81
;;;;;;212;;;-39.57
;;;;;;213;;;-26.28
;;;;;;214;;;-11.91
;;;;;;215;;;2.76
;;;;;;216;;;17.41
;;;;;;217;;;31.74
;;;;;;218;;;44.91
;;;;;;219;;;55.98
;;;;;;220;;;64.6
;;;;;;221;;;71.98
;;;;;;222;;;78.6
;;;;;;223;;;82.93
;;;;;;224;;;83.48
;;;;;;225;;;80.21
;;;;;;226;;;73.84
;;;;;;227;;;63.97
;;;;;;228;;;50.78
;;;;;;229;;;35.44
;;;;;;230;;;17.83
;;;;;;231;;;-1.87
;;;;;;232;;;-22.97
;;;;;;233;;;-43.55
;;;;;;234;;;-58.56
;;;;;;235;;;-66.43
;;;;;;236;;;-69.6
;;;;;;237;;;-69.6
;;;;;;238;;;-67.02
;;;;;;239;;;-62.44
;;;;;;240;;;-55.24
;;;;;;241;;;-43.92
;;;;;;242;;;-28.86
;;;;;;243;;;-11.67
;;;;;;244;;;6.46
;;;;;;245;;;24
;;;;;;246;;;39.22
;;;;;;247;;;51.18
;;;;;;248;;;59.58
;;;;;;249;;;65.86
;;;;;;250;;;71.79
;;;;;;251;;;77
;;;;;;252;;;79.87
;;;;;;253;;;78.67
;;;;;;254;;;72.29
;;;;;;255;;;61.83
;;;;;;256;;;49.32
;;;;;;257;;;35.39
;;;;;;258;;;19.84
;;;;;;259;;;2.55
;;;;;;260;;;-15.84
;;;;;;261;;;-33.11
;;;;;;262;;;-47.57
;;;;;;263;;;-59.14
;;;;;;264;;;-67.72
;;;;;;265;;;-72.96
;;;;;;266;;;-75.26
;;;;;;267;;;-75.23
;;;;;;268;;;-72.82
;;;;;;269;;;-68.51
;;;;;;270;;;-63.28
;;;;;;271;;;-56.73
;;;;;;272;;;-47.21
;;;;;;273;;;-34.95
;;;;;;274;;;-21.12
;;;;;;275;;;-6.08
;;;;;;276;;;9.81
;;;;;;277;;;25.38
;;;;;;278;;;39.4
;;;;;;279;;;51.51
;;;;;;280;;;61.36
;;;;;;281;;;70.66
;;;;;;282;;;79.83
;;;;;;283;;;85.54
;;;;;;284;;;85.56
;;;;;;285;;;80.55
;;;;;;286;;;72.75
;;;;;;287;;;62.55
;;;;;;288;;;49.61
;;;;;;289;;;34.87
;;;;;;290;;;19.37
;;;;;;291;;;3.59
;;;;;;292;;;-13.46
;;;;;;293;;;-31.84
;;;;;;294;;;-48.03
;;;;;;295;;;-58.26
;;;;;;296;;;-64.47
;;;;;;297;;;-69.92
;;;;;;298;;;-73.46
;;;;;;299;;;-73.66
